BGGId,Name,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63
250.0,Colonial Diplomacy,0.0,0.0,0.0,5.8998723,4.399615,7.774293,0.0,4.802308,0.0,5.5571938,9.409161,0.0,0.0,6.7969575,0.57463557,0.0,6.9632406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.454072,2.0988963,6.3330092,8.898037,1.0957371,1.1773611,5.3031006,0.7066156,0.0,1.7178687,0.0,0.0,0.77038395,3.9612901,0.0,7.399581,0.0,3.003274,5.078893,3.1156259,0.0,0.0,0.0,1.4955992,3.9406016,0.0,2.428777,0.0,0.0,5.11686,1.2776622,2.3231614,0.0,0.0,0.0,0.0,7.1994524,0.0,3.2578197
263.0,Manitou,0.0,0.0,0.0,5.8487306,4.362544,7.6988044,0.0,4.753476,0.0,5.508645,9.33146,0.0,0.0,6.7350483,0.5664943,0.0,6.8908153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.421091,2.0823026,6.2698555,8.821348,1.0862336,1.1636082,5.257493,0.70213985,0.0,1.6909361,0.0,0.0,0.7629014,3.9228537,0.0,7.3364873,0.0,2.969948,5.032235,3.0957625,0.0,0.0,0.0,1.4757383,3.9079485,0.0,2.4076402,0.0,0.0,5.065712,1.2654995,2.299703,0.0,0.0,0.0,0.0,7.1390433,0.0,3.226727
274.0,Guerilla,0.0,0.0,0.0,5.856826,4.3711233,7.7126365,0.0,4.7662587,0.0,5.5166388,9.3504095,0.0,0.0,6.7440042,0.5731616,0.0,6.904328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4283373,2.0852463,6.2860837,8.835998,1.0822083,1.1682799,5.2644176,0.70674205,0.0,1.7022666,0.0,0.0,0.76457226,3.9297793,0.0,7.350364,0.0,2.972832,5.0396843,3.1011539,0.0,0.0,0.0,1.4854664,3.9117353,0.0,2.4125555,0.0,0.0,5.0733314,1.2702549,2.305417,0.0,0.0,0.0,0.0,7.150285,0.0,3.2301219
295.0,Europa 1945-2030,0.0,0.0,0.0,5.7803855,4.312959,7.61008,0.0,4.696708,0.0,5.4463587,9.22435,0.0,0.0,6.654928,0.5630703,0.0,6.8120875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3781996,2.056943,6.1998324,8.719268,1.0784688,1.1514195,5.1955967,0.693467,0.0,1.6771941,0.0,0.0,0.7574612,3.8808622,0.0,7.2549734,0.0,2.9350934,4.9765787,3.0569394,0.0,0.0,0.0,1.4605422,3.859649,0.0,2.3793495,0.0,0.0,5.00927,1.2482435,2.2757223,0.0,0.0,0.0,0.0,7.0565805,0.0,3.1846516
301.0,Campanile,0.0,0.0,0.0,5.875763,4.3849363,7.7444124,0.0,4.7827635,0.0,5.5416546,9.3824415,0.0,0.0,6.7711406,0.56848013,0.0,6.931792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4463155,2.0966227,6.3106675,8.868381,1.0914097,1.1719952,5.2841973,0.7077379,0.0,1.7059109,0.0,0.0,0.7642326,3.9478261,0.0,7.38049,0.0,2.986268,5.0633473,3.112621,0.0,0.0,0.0,1.4895262,3.9245431,0.0,2.4200394,0.0,0.0,5.0920086,1.2710041,2.3121018,0.0,0.0,0.0,0.0,7.176564,0.0,3.24498
304.0,Evergreen,0.0,0.0,0.0,5.790215,4.3221765,7.6281786,0.0,4.70563,0.0,5.460574,9.241323,0.0,0.0,6.6716475,0.5645862,0.0,6.8308983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3902328,2.0622768,6.2127566,8.734424,1.0768173,1.1525367,5.20209,0.6959542,0.0,1.6822141,0.0,0.0,0.76065063,3.8884063,0.0,7.2682514,0.0,2.9391267,4.9887295,3.0632286,0.0,0.0,0.0,1.4673789,3.8695927,0.0,2.3832934,0.0,0.0,5.019718,1.2509209,2.2840855,0.0,0.0,0.0,0.0,7.071277,0.0,3.1901782
305.0,Der Fliegende Holländer,0.0,0.0,0.0,5.6712737,4.2298446,7.4653044,0.0,4.6125984,0.0,5.3413906,9.048572,0.0,0.0,6.5266557,0.5536587,0.0,6.6818495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3129501,2.0173602,6.08355,8.5459795,1.0568212,1.1289574,5.095009,0.6757827,0.0,1.640385,0.0,0.0,0.7454791,3.8020275,0.0,7.1143274,0.0,2.8764727,4.8837523,2.9994285,0.0,0.0,0.0,1.4337343,3.7896717,0.0,2.327826,0.0,0.0,4.9178104,1.2257062,2.2351966,0.0,0.0,0.0,0.0,6.919027,0.0,3.1275482
313.0,Big Boss,0.0,0.0,0.0,5.7573724,4.29476,7.580418,0.0,4.676204,0.0,5.4233,9.186886,0.0,0.0,6.63082,0.5601493,0.0,6.7870336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3687613,2.0463336,6.1705613,8.684356,1.0681689,1.1460854,5.176854,0.6918018,0.0,1.6712807,0.0,0.0,0.75123173,3.866955,0.0,7.220983,0.0,2.9245703,4.9576426,3.0450718,0.0,0.0,0.0,1.4546658,3.8444264,0.0,2.3641648,0.0,0.0,4.9881597,1.2419591,2.2712698,0.0,0.0,0.0,0.0,7.026014,0.0,3.1751812
316.0,Chase,0.0,0.0,0.0,5.792961,4.3197007,7.62951,0.0,4.710011,0.0,5.4586897,9.245261,0.0,0.0,6.6715703,0.5652864,0.0,6.830671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3884647,2.0615163,6.2098384,8.740307,1.0749426,1.153834,5.2076435,0.69554365,0.0,1.684147,0.0,0.0,0.7562542,3.8891876,0.0,7.271209,0.0,2.9412665,4.988478,3.0644946,0.0,0.0,0.0,1.4629216,3.8667378,0.0,2.3801425,0.0,0.0,5.0183024,1.2524368,2.2809613,0.0,0.0,0.0,0.0,7.0711756,0.0,3.1953397
335.0,Breakthru,0.0,0.0,0.0,5.7531796,4.2909355,7.5756836,0.0,4.673634,0.0,5.4173384,9.179449,0.0,0.0,6.6232443,0.56331944,0.0,6.777957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3639522,2.0468335,6.170098,8.677895,1.0619329,1.1468318,5.1680903,0.69451106,0.0,1.6675342,0.0,0.0,0.75222033,3.8576813,0.0,7.218279,0.0,2.91909,4.9497895,3.0453851,0.0,0.0,0.0,1.4541515,3.8467314,0.0,2.3655872,0.0,0.0,4.985105,1.243496,2.2670162,0.0,0.0,0.0,0.0,7.0218844,0.0,3.1692924
